16 91 591
16 93 168
16 99 64
17 18 6083
17 20 1
17 22 128
17 24 1
17 29 16402
17 30 419
17 31 11
17 34 41
17 37 833
17 38 131
17 39 1687
17 40 138
17 42 6
17 47 7141
17 48 28
17 50 4
17 51 7
17 52 108
17 55 3241
17 56 83
17 57 22010
17 58 3692
17 60 1
17 61 2748
17 63 6070
17 64 2920
17 65 13
17 66 258
17 67 2085
17 68 516
17 69 56
17 70 2
17 71 1003
17 72 35
17 73 12305
17 74 1080
17 75 4132
17 77 6071
17 78 3912
17 79 11444
17 80 200
17 81 18040
17 82 2252
17 83 49
17 84 514
17 85 5120
17 86 1446
17 87 250
17 88 223
17 89 26
17 90 457
17 91 7213
17 93 1522
17 97 84
17 99 5095
17 101 3
17 103 2983
17 108 1
17 109 1
17 115 14
18 20 2
18 29 2512
18 30 122
18 34 8
18 37 46
18 38 215
18 39 1
18 40 130
18 47 128
18 48 42
18 50 34
18 52 46
18 55 30
18 56 64
18 57 9167
18 58 5364
18 60 7
18 61 686
18 62 44
18 63 2474
18 64 2348
18 66 65
18 67 55
18 68 7
18 70 7
18 71 588
18 72 6
18 73 4347
18 74 1387
18 75 1078
18 77 668
18 78 1130
18 79 1467
18 80 220
18 81 4088
18 82 1127
18 83 28
18 84 4
18 85 349
18 86 186
18 87 2
18 88 1
18 90 3
18 91 100
18 93 49
18 99 89
18 103 62
19 34 2
19 33 404
19 29 11
19 81 13
19 83 1
19 57 754
19 23 80
19 25 1
19 71 1
19 27 1
19 61 11
19 69 56
20 24 55
20 30 1
20 33 132
20 34 174
20 35 1
20 46 4
20 55 1
20 57 167
20 58 2
20 59 4
20 60 15
20 61 148
20 64 3
20 67 112
20 68 14
20 69 92
20 70 77
20 78 1
20 79 1
20 81 1
20 82 2
20 86 2
20 90 2
20 91 1
21 25 184
21 27 1981
21 29 2676
21 31 2120
21 32 7
21 33 379
21 37 76
21 41 5
21 55 14
21 59 44
21 67 511
21 71 5116
21 73 5443
21 75 1426
21 81 197
21 84 23
21 85 121
21 89 6
21 91 62
21 97 323
21 99 180
21 103 45
22 32 2
22 75 154
22 71 3
22 72 179
22 73 142
22 74 420
22 28 64
22 29 140
22 30 38
23 32 25
23 73 1
23 24 50
