276 334 970
276 335 17
276 277 72
276 278 8
276 279 864
276 280 4
276 281 292
276 282 9
277 279 10
277 331 56
277 333 340
277 278 1
277 281 4
278 332 775
278 331 2
278 364 50
278 333 1
278 334 1
278 335 374
278 279 11
278 280 141
278 281 1
278 282 350
278 283 1
278 284 6
279 330 163
279 331 39
279 333 74
279 334 352
279 335 590
279 280 3
279 281 45
279 282 265
280 354 3
280 283 6
280 332 223
280 282 18
280 284 25
280 285 8
280 286 2
281 331 15
281 333 28
281 334 28
281 282 2
282 364 389
282 330 5
282 331 24
282 332 204
282 335 2410
282 284 14
283 332 1
283 284 1
283 286 2
284 335 2
284 286 5
284 287 6
285 286 2
286 287 2
287 328 2
287 336 480
288 352 3
288 289 8
288 290 3
288 351 9
289 352 8
289 290 5
291 307 21
291 299 2
291 345 6
291 348 4
291 350 4
292 294 6
292 360 1147
292 363 1
292 371 194
293 294 405
293 295 20
293 360 78
294 360 104
294 363 419
294 295 2914
294 296 136
294 297 84
294 298 787
295 363 12
295 296 3007
295 297 3370
295 298 92
296 297 2993
296 372 12
297 360 22
297 363 227
297 298 1723
297 333 72
297 331 178
298 363 1511
298 360 226
298 362 168
298 331 1508
298 333 906
298 334 596
298 361 2
299 350 2
300 336 623
300 323 665
300 326 213
300 327 1388
300 338 11
300 370 12
300 366 219
300 301 2321
300 368 1400
300 369 753
300 306 1372
300 307 789
300 365 147
300 302 1495
300 375 8
300 376 12
300 367 634
300 318 1
300 373 4
301 304 8
301 379 2
301 305 165
301 338 17
301 302 2860
301 303 334
301 368 1
301 306 1539
301 307 670
301 375 2
301 376 14
301 367 20
302 368 2079
302 303 799
302 306 1451
302 307 731
302 329 148
302 336 2289
302 366 7
302 369 3209
302 370 2501
303 305 251
303 370 2
303 306 558
303 307 152
304 344 2
304 338 7
304 305 2
304 306 7
304 342 10
304 375 4
304 376 15
304 379 1
305 306 281
305 307 1
306 307 1338
306 376 5
307 376 16
307 345 9
307 347 2
308 346 22
308 341 1
308 358 1
308 349 1
317 320 14
317 340 20
317 374 1
317 318 7
318 342 9
318 327 8
318 367 3
318 338 3
318 340 10
318 373 36
318 374 27
318 375 10
319 320 8
319 321 1
319 322 2
319 340 7
319 341 8
320 321 1
320 340 67
320 341 38
321 340 1
321 341 1
322 341 2
322 377 4
322 378 11
323 324 1606
323 325 565
323 326 276
323 327 112
323 328 82
323 365 1162
323 367 8
324 325 1156
324 326 847
324 365 3657
324 366 1183
324 328 540
325 327 228
325 365 2450
325 367 62
325 375 1
326 328 1398
326 327 4
326 329 128
326 365 909
326 366 699
326 368 1720
327 365 162
327 367 440
327 373 15
327 374 1
327 375 24
328 368 253
328 366 665
328 336 3299
328 369 138
328 370 51
329 370 11
330 361 4
330 362 943
330 363 437
330 364 4539
330 334 771
330 335 2689
330 331 478
330 332 1576
331 362 243
331 363 487
331 332 22
331 333 4961
331 334 3191
331 335 338
331 364 587
332 364 2198
332 335 4046
333 363 6
333 334 938
333 335 2
334 363 242
334 364 1058
334 335 748
334 362 339
335 364 1611
336 368 2629
336 369 4272
336 370 1263
336 337 1681
336 366 643
337 369 927
337 371 769
337 372 193
338 367 5
338 373 56
338 342 27
338 375 50
338 376 17
338 379 5
339 340 58
339 341 6
339 374 16
340 374 77
340 341 80
340 343 11
340 381 3
340 373 7
340 342 15
340 375 7
341 342 9
341 343 22
341 346 8
341 379 1
341 377 3
341 381 35
342 343 22
342 374 2
342 375 12
342 376 1
342 381 3
342 373 21
343 344 5
343 346 2
343 347 1
343 381 11
344 345 4
344 347 15
344 376 22
345 385 1
345 376 2
345 347 26
345 348 2
346 358 2
346 379 5
346 380 1
346 381 19
347 348 6
347 349 6
347 350 3
348 350 3
349 386 15
349 387 1
349 350 9
350 352 16
350 386 24
350 388 3
350 359 1
350 387 5
350 351 6
351 352 11
352 386 3
352 388 4
352 353 1
354 392 25
358 385 1
359 386 1
