111 130 11
111 131 15
111 165 15
111 177 10
111 168 3
111 175 11
111 127 9
112 127 2
113 114 2
113 168 2
114 166 13
114 167 144
114 127 1
115 147 1695
115 146 1714
115 143 120
115 120 1
115 116 66
116 141 15
116 143 1655
116 147 39
116 148 601
116 149 562
116 150 86
116 144 54
117 130 199
117 118 103
117 119 1
117 121 324
117 122 19
118 134 947
118 152 772
118 153 389
118 154 3065
118 159 286
118 162 1889
118 166 9
118 167 1
118 135 1084
118 172 5
118 119 1650
118 120 965
118 122 12
118 125 2298
118 126 4109
119 128 10
119 133 11
119 134 2739
119 152 448
119 153 79
119 154 5314
119 159 8
119 162 1707
119 135 5099
119 120 495
119 121 149
119 125 508
119 126 6026
120 137 6
120 152 4957
120 153 2755
120 155 3
120 156 2
120 159 2465
120 162 5539
120 141 187
120 125 1146
120 126 1843
121 130 2135
121 171 1653
121 132 1
121 133 42
121 134 3115
121 162 2
121 135 4
121 177 15
121 124 9
121 154 179
121 175 23
121 166 3
121 125 127
121 126 455
121 127 24
122 130 1096
122 131 526
122 134 2
122 168 2
122 171 14
122 124 37
122 127 988
123 128 508
123 129 163
123 162 11
123 174 2827
123 173 1600
123 176 77
123 177 3
123 132 947
123 154 11
123 124 1011
124 128 701
124 129 247
124 131 502
124 132 1098
124 134 26
124 135 1
124 138 6
124 154 10
124 162 4
124 168 2
124 173 1171
124 174 3394
124 175 248
124 176 2091
124 126 9
124 127 2654
125 128 3
125 134 364
125 146 4
125 152 802
125 154 1096
125 162 5129
125 166 1
125 135 31
125 172 2
125 173 5
125 126 6834
126 128 10
126 129 8
126 132 8
126 134 6229
126 135 5674
126 136 1
126 137 141
126 138 4
126 153 1771
126 152 2475
126 154 8343
126 159 807
126 133 7
126 162 6661
126 175 1
127 128 216
127 129 382
127 130 2464
127 131 9180
127 133 6
127 134 58
127 166 808
127 168 13
127 171 17
127 172 398
127 174 95
127 175 4478
127 176 4970
127 177 873
128 129 1763
128 131 103
128 132 2141
128 136 94
128 138 71
128 154 33
128 162 22
128 166 19
128 172 11
128 173 317
128 174 3
128 175 322
128 176 2947
129 131 92
129 132 4474
129 134 1
129 135 2
129 136 747
129 138 524
129 154 5
129 162 3
129 166 14
129 172 28
129 173 47
129 174 39
129 175 151
129 176 1647
130 133 51
130 134 610
130 131 1179
130 170 12
130 171 2711
130 175 174
130 177 926
131 171 37
131 133 689
131 134 36
131 135 10
131 168 10
131 174 1
131 175 3377
131 176 1765
131 177 1835
132 133 517
132 134 3
132 135 582
132 136 1467
132 137 1744
132 138 588
132 147 140
132 154 2
132 162 5
132 166 3
132 173 6
132 174 886
132 176 1236
133 134 4592
133 135 2635
133 166 2997
133 171 503
133 172 4
133 175 742
133 176 291
133 177 775
134 154 3775
134 162 189
134 171 1474
134 175 46
134 135 7204
135 162 344
135 136 4
135 137 564
135 138 10
135 176 18
135 154 3446
136 137 1192
136 138 330
136 139 816
136 147 749
136 158 2
136 154 2
136 156 43
136 149 2
137 162 5
137 176 78
137 153 4
137 152 5
137 155 1
137 156 370
137 159 12
138 162 14
138 139 3
138 174 8
138 146 2
138 147 1
138 159 8
139 140 1066
139 149 1272
139 156 236
139 158 53
140 142 518
140 149 1358
140 150 113
140 158 1475
141 151 2591
141 160 4
141 144 142
142 144 522
142 145 13
142 158 1015
142 149 63
142 150 2256
143 147 494
143 144 196
143 149 47
143 150 97
143 148 1362
144 145 42
144 148 553
144 149 374
144 150 4799
144 151 311
145 148 3
145 150 16
146 152 1
146 147 2753
146 149 1
146 154 5
146 173 2
146 174 3
147 148 1037
147 174 179
147 150 2
147 149 30
148 150 6905
148 149 1874
149 158 944
149 150 779
150 151 539
150 158 218
152 153 2684
152 154 468
152 155 2
152 159 1991
152 162 7143
152 173 2
153 162 5783
153 155 1
153 156 1
153 154 74
153 159 3041
154 162 2274
154 173 7
154 175 1
155 156 22
155 158 9
155 159 4
156 159 5
159 162 1719
160 161 3
162 173 4
162 175 1
165 168 2
166 167 1
166 172 301
166 175 2255
166 176 641
166 177 1746
167 172 755
167 173 80
169 170 4
171 175 3
171 177 15
172 173 95
172 176 401
172 175 566
173 174 813
173 176 1107
174 175 9
175 176 4510
175 177 2689
176 177 209
